country,year,refugees
Afghanistan,2003,2136043
Burundi,2003,531637
Congo DRC,2003,453465
Iraq,2003,368580
Myanmar,2003,151384
Palestine,2003,350568
Somalia,2003,402336
Sudan,2003,606242
Syria,2003,20819
Vietnam,2003,363179
Afghanistan,2004,2084109
Burundi,2004,485454
Congo DRC,2004,461042
Iraq,2004,311905
Myanmar,2004,161013
Palestine,2004,350617
Somalia,2004,389304
Sudan,2004,730647
Syria,2004,21440
Vietnam,2004,349809
Afghanistan,2005,2166149
Burundi,2005,438706
Congo DRC,2005,430929
Iraq,2005,262299
Myanmar,2005,164864
Palestine,2005,349673
Somalia,2005,395553
Sudan,2005,693632
Syria,2005,16401
Vietnam,2005,358268
Afghanistan,2006,2107519
Burundi,2006,396541
Congo DRC,2006,401914
Iraq,2006,1450905
Myanmar,2006,202826
Palestine,2006,334142
Somalia,2006,464252
Sudan,2006,686311
Syria,2006,12338
Vietnam,2006,374279
Afghanistan,2007,1909911
Burundi,2007,375715
Congo DRC,2007,370386
Iraq,2007,2279245
Myanmar,2007,191256
Palestine,2007,335219
Somalia,2007,455356
Sudan,2007,523032
Syria,2007,13671
Vietnam,2007,327776
Afghanistan,2008,1817913
Burundi,2008,281592
Congo DRC,2008,367995
Iraq,2008,1873519
Myanmar,2008,184347
Palestine,2008,333990
Somalia,2008,559153
Sudan,2008,397013
Syria,2008,15186
Vietnam,2008,328183
Afghanistan,2009,1905804
Burundi,2009,94239
Congo DRC,2009,455852
Iraq,2009,1785212
Myanmar,2009,206650
Palestine,2009,95177
Somalia,2009,678308
Sudan,2009,348500
Syria,2009,17884
Vietnam,2009,339289
Afghanistan,2010,3054709
Burundi,2010,84064
Congo DRC,2010,476693
Iraq,2010,1683575
Myanmar,2010,215644
Palestine,2010,93299
Somalia,2010,770148
Sudan,2010,379067
Syria,2010,18428
Vietnam,2010,338698
Afghanistan,2011,2664436
Burundi,2011,101288
Congo DRC,2011,491481
Iraq,2011,1428308
Myanmar,2011,214594
Palestine,2011,94121
Somalia,2011,1075148
Sudan,2011,491013
Syria,2011,19900
Vietnam,2011,337829
Afghanistan,2012,2586034
Burundi,2012,73362
Congo DRC,2012,509082
Iraq,2012,746181
Myanmar,2012,215338
Palestine,2012,94820
Somalia,2012,1136713
Sudan,2012,558195
Syria,2012,728603
Vietnam,2012,336939
Afghanistan,2013,2556507
Burundi,2013,72652
Congo DRC,2013,499320
Iraq,2013,401384
Myanmar,2013,222053
Palestine,2013,96044
Somalia,2013,1121772
Sudan,2013,636400
Syria,2013,2457255
Vietnam,2013,314105
